name,manufacturer,year,age,kilometerage,engine,transmission,price
Ford Fiesta,FORD,2003,22,175418.06,Petrol,Automatic,1500
Vauxhall Corsa,VAUXHALL,2003,22,175418.06,Petrol,Automatic,1500
Vauxhall Zafira,VAUXHALL,2003,22,175418.06,Petrol,Automatic,1500
Peugeot 107,PEUGEOT,2003,22,175418.06,Petrol,Automatic,1500
Vauxhall Corsa,VAUXHALL,2003,22,175418.06,Petrol,Automatic,1500
Bmw X5,BMW,2003,22,175418.06,Petrol,Automatic,1500
Honda Civic,HONDA,2003,22,175418.06,Petrol,Automatic,1500
Ford Focus,FORD,2003,22,175418.06,Petrol,Automatic,1500
Mazda 3,MAZDA,2003,22,175418.06,Petrol,Automatic,1500
Peugeot 207,PEUGEOT,2003,22,175418.06,Petrol,Automatic,1500
Kia Ceed,KIA,2003,22,175418.06,Petrol,Automatic,1500
Bmw 3 Series,BMW,2003,22,175418.06,Petrol,Automatic,1500
Nissan Micra,NISSAN,2003,22,175418.06,Petrol,Automatic,1500
Renault Clio,RENAULT,2003,22,175418.06,Petrol,Automatic,1500
Fiat 500,FIAT,2012,13,220479.58,Diesel,Manual,1500
Audi A6,AUDI,2012,13,220479.58,Diesel,Manual,1500
Honda Cr-V,HONDA,2012,13,220479.58,Diesel,Manual,1500
Citroen C1,CITROEN,2012,13,220479.58,Diesel,Manual,1500
Vauxhall Astra,VAUXHALL,2012,13,220479.58,Diesel,Manual,1500
Vauxhall Corsa,VAUXHALL,2012,13,220479.58,Diesel,Manual,1500
Volvo C30,VOLVO,2012,13,220479.58,Diesel,Manual,1500
Ford Fusion,FORD,2012,13,220479.58,Diesel,Manual,1500
Suzuki Swift,SUZUKI,2012,13,220479.58,Diesel,Manual,1500
Peugeot 308,PEUGEOT,2012,13,220479.58,Diesel,Manual,1500
Fiat Punto,FIAT,2012,13,220479.58,Diesel,Manual,1500
Vauxhall Meriva,VAUXHALL,2012,13,220479.58,Diesel,Manual,1500
Kia Picanto,KIA,2012,13,220479.58,Diesel,Manual,1500
Citroen C4,CITROEN,2012,13,220479.58,Diesel,Manual,1500
Ford Fiesta,FORD,2012,13,220479.58,Diesel,Manual,1500
Citroen C4,CITROEN,2012,13,220479.58,Diesel,Manual,1500
Fiat 500,FIAT,2008,17,214914.48228,Petrol,Manual,1500
Honda Civic,HONDA,2008,17,214914.48228,Petrol,Manual,1500
Ford Focus,FORD,2008,17,214914.48228,Petrol,Manual,1500
Honda Civic,HONDA,2008,17,214914.48228,Petrol,Manual,1500
Ford Ka,FORD,2008,17,214914.48228,Petrol,Manual,1500
Toyota Yaris,TOYOTA,2008,17,214914.48228,Petrol,Manual,1500
Volkswagen Polo,VOLKSWAGEN,2008,17,214914.48228,Petrol,Manual,1500
Honda Cr-V,HONDA,2008,17,214914.48228,Petrol,Manual,1500
Nissan Note,NISSAN,2008,17,214914.48228,Petrol,Manual,1500
Ford Ka,FORD,2008,17,214914.48228,Petrol,Manual,1500
Toyota Aygo,TOYOTA,2008,17,214914.48228,Petrol,Manual,1500
Vauxhall Astra,VAUXHALL,2008,17,214914.48228,Petrol,Manual,1500
Peugeot 207,PEUGEOT,2008,17,214914.48228,Petrol,Manual,1500
Ford Fiesta,FORD,2008,17,214914.48228,Petrol,Manual,1500
Honda Jazz,HONDA,2008,17,214914.48228,Petrol,Manual,1500
Vauxhall Zafira,VAUXHALL,2002,23,136304.66064,Petrol,Manual,1500
Vauxhall Astra,VAUXHALL,2002,23,136304.66064,Petrol,Manual,1500
Seat Ibiza,SEAT,2002,23,136304.66064,Petrol,Manual,1501
Ford Fiesta,FORD,2002,23,136304.66064,Petrol,Manual,1501
Dacia Sandero,DACIA,2002,23,136304.66064,Petrol,Manual,1505
Citroen C3,CITROEN,2002,23,136304.66064,Petrol,Manual,1545
Mini Hatch,MINI,2002,23,136304.66064,Petrol,Manual,1547
Fiat Panda,FIAT,2002,23,136304.66064,Petrol,Manual,1549
Vauxhall Corsa,VAUXHALL,2002,23,136304.66064,Petrol,Manual,1550
Ford C-Max,FORD,2002,23,136304.66064,Petrol,Manual,1550
Citroen C1,CITROEN,2002,23,136304.66064,Petrol,Manual,1550
Renault Clio,RENAULT,2002,23,136304.66064,Petrol,Manual,1550
Ford Mondeo,FORD,2002,23,136304.66064,Petrol,Manual,1589
Bmw 3 Series,BMW,2002,23,136304.66064,Petrol,Manual,1590
Seat Ibiza,SEAT,2002,23,136304.66064,Petrol,Manual,1590
Mini Hatch,MINI,2002,23,136304.66064,Petrol,Manual,1590
Skoda Fabia,SKODA,2011,14,123919.18,Diesel,Manual,1590
Renault Clio,RENAULT,2011,14,123919.18,Diesel,Manual,1590
Ford Focus,FORD,2011,14,123919.18,Diesel,Manual,1590
Vauxhall Corsa,VAUXHALL,2011,14,123919.18,Diesel,Manual,1595
Mazda Mazda 6,MAZDA,2011,14,123919.18,Diesel,Manual,1595
Mini Hatch,MINI,2011,14,123919.18,Diesel,Manual,1595
Peugeot 3008,PEUGEOT,2011,14,123919.18,Diesel,Manual,1595
Ford Focus,FORD,2011,14,123919.18,Diesel,Manual,1595
Volkswagen Polo,VOLKSWAGEN,2011,14,123919.18,Diesel,Manual,1595
Vauxhall Meriva,VAUXHALL,2011,14,123919.18,Diesel,Manual,1595
Fiat Panda,FIAT,2011,14,123919.18,Diesel,Manual,1595
Citroen C1,CITROEN,2011,14,123919.18,Diesel,Manual,1595
Fiat Punto,FIAT,2011,14,123919.18,Diesel,Manual,1595
Vauxhall Zafira,VAUXHALL,2011,14,123919.18,Diesel,Manual,1595
Renault Clio,RENAULT,2009,16,214042.22,Petrol,Manual,1595
Peugeot 207,PEUGEOT,2009,16,214042.22,Petrol,Manual,1595
Ford Transit Connect,FORD,2009,16,214042.22,Petrol,Manual,1595
Renault Clio,RENAULT,2009,16,214042.22,Petrol,Manual,1595
Nissan Qashqai,NISSAN,2009,16,214042.22,Petrol,Manual,1595
Kia Soul,KIA,2009,16,214042.22,Petrol,Manual,1595
Skoda Roomster,SKODA,2009,16,214042.22,Petrol,Manual,1595
Vauxhall Astra,VAUXHALL,2009,16,214042.22,Petrol,Manual,1595
Ford Fiesta,FORD,2009,16,214042.22,Petrol,Manual,1595
Mercedes-Benz C Class,MERCEDES-BENZ,2009,16,214042.22,Petrol,Manual,1595
Honda Jazz,HONDA,2009,16,214042.22,Petrol,Manual,1595
Honda Civic,HONDA,2009,16,214042.22,Petrol,Manual,1595
Vauxhall Meriva,VAUXHALL,2009,16,214042.22,Petrol,Manual,1598
Ford Fiesta,FORD,2009,16,214042.22,Petrol,Manual,1599
Mini Hatch,MINI,2009,16,214042.22,Petrol,Manual,1599
Seat Ibiza,SEAT,2009,16,214042.22,Petrol,Manual,1599
Suzuki Sx4,SUZUKI,2007,18,226916.94,Diesel,Manual,1599
Volkswagen Polo,VOLKSWAGEN,2007,18,226916.94,Diesel,Manual,1599
Bmw 3 Series,BMW,2007,18,226916.94,Diesel,Manual,1599
Ford Fiesta,FORD,2007,18,226916.94,Diesel,Manual,1599
Honda Cr-V,HONDA,2007,18,226916.94,Diesel,Manual,1599
Renault Scenic,RENAULT,2007,18,226916.94,Diesel,Manual,1599
Honda Jazz,HONDA,2007,18,226916.94,Diesel,Manual,1599
Mercedes-Benz C Class,MERCEDES-BENZ,2007,18,226916.94,Diesel,Manual,1599
Vauxhall Corsa,VAUXHALL,2007,18,226916.94,Diesel,Manual,1599
Ford Fiesta,FORD,2007,18,226916.94,Diesel,Manual,1599
Skoda Fabia,SKODA,2007,18,226916.94,Diesel,Manual,1600
Bmw 1 Series,BMW,2007,18,226916.94,Diesel,Manual,1600
Vauxhall Corsa,VAUXHALL,2007,18,226916.94,Diesel,Manual,1600
Ford Focus,FORD,2007,18,226916.94,Diesel,Manual,1600
Mazda Mazda 6,MAZDA,2007,18,226916.94,Diesel,Manual,1600
Citroen C4,CITROEN,2007,18,226916.94,Diesel,Manual,1600
Kia Ceed,KIA,2007,18,226916.94,Diesel,Manual,1600
Ford S-Max,FORD,2007,18,226916.94,Diesel,Manual,1640
Vauxhall Astra,VAUXHALL,2009,16,143223.2133,Petrol,Manual,1645
Vauxhall Corsa,VAUXHALL,2009,16,143223.2133,Petrol,Manual,1650
Ford Focus,FORD,2009,16,143223.2133,Petrol,Manual,1650
Mazda Mazda 2,MAZDA,2009,16,143223.2133,Petrol,Manual,1650
Mercedes-Benz A Class,MERCEDES-BENZ,2009,16,143223.2133,Petrol,Manual,1650
Mini Hatch,MINI,2009,16,143223.2133,Petrol,Manual,1650
Nissan Note,NISSAN,2009,16,143223.2133,Petrol,Manual,1650
Ford Fiesta,FORD,2009,16,143223.2133,Petrol,Manual,1650
Ford Focus,FORD,2009,16,143223.2133,Petrol,Manual,1650
Vauxhall Astra,VAUXHALL,2009,16,143223.2133,Petrol,Manual,1650
Peugeot 3008,PEUGEOT,2009,16,143223.2133,Petrol,Manual,1650
Mercedes-Benz Vito,MERCEDES-BENZ,2009,16,143223.2133,Petrol,Manual,1666
Vauxhall Corsa,VAUXHALL,2009,16,143223.2133,Petrol,Manual,1669
Volkswagen Beetle,VOLKSWAGEN,2009,16,143223.2133,Petrol,Manual,1675
Vauxhall Corsa,VAUXHALL,2006,19,228526.28,Diesel,Manual,1689
Ford Fusion,FORD,2006,19,228526.28,Diesel,Manual,1689
Ford Fiesta,FORD,2006,19,228526.28,Diesel,Manual,1689
Vauxhall Meriva,VAUXHALL,2006,19,228526.28,Diesel,Manual,1690
Skoda Roomster,SKODA,2006,19,228526.28,Diesel,Manual,1690
Kia Rio,KIA,2006,19,228526.28,Diesel,Manual,1690
Land Rover Freelander,LAND ROVER,2006,19,228526.28,Diesel,Manual,1690
Audi A3 Cabriolet,AUDI,2006,19,228526.28,Diesel,Manual,1690
Citroen Ds3,CITROEN,2006,19,228526.28,Diesel,Manual,1690
Renault Clio,RENAULT,2006,19,228526.28,Diesel,Manual,1690
Volkswagen Golf,VOLKSWAGEN,2006,19,228526.28,Diesel,Manual,1690
Vauxhall Corsa,VAUXHALL,2006,19,228526.28,Diesel,Manual,1690
Toyota Yaris,TOYOTA,2006,19,228526.28,Diesel,Manual,1690
Peugeot 308,PEUGEOT,2006,19,228526.28,Diesel,Manual,1690
Ford Mondeo,FORD,2006,19,228526.28,Diesel,Manual,1690
Ford Fiesta,FORD,2006,19,228526.28,Diesel,Manual,1695
Bmw 5 Series,BMW,2006,19,228526.28,Diesel,Manual,1695
Renault Megane,RENAULT,2006,19,199558.16,Diesel,Manual,1695
Nissan Pixo,NISSAN,2006,19,199558.16,Diesel,Manual,1695
Peugeot Expert,PEUGEOT,2006,19,199558.16,Diesel,Manual,1695
Vauxhall Corsa,VAUXHALL,2006,19,199558.16,Diesel,Manual,1695
Fiat Panda,FIAT,2006,19,199558.16,Diesel,Manual,1695
Nissan Note,NISSAN,2006,19,199558.16,Diesel,Manual,1695
Vauxhall Astra,VAUXHALL,2006,19,199558.16,Diesel,Manual,1695
